function,arguments,owner,security_definer,public_execute,anon_execute,authenticated_execute,service_role_execute,referenced_tables,risk
save_page_order_and_rotation,"p_fax_received_id bigint, p_page_orders jsonb, p_assigned_by character varying",postgres,false,true,true,true,true,cm_fax_pages|fax,High
search_clients,"p_query character varying, p_office_ids bigint[], p_limit integer",postgres,false,true,true,true,true,cm_kaipoke_info|cm_kaipoke_other_office|cm_kaipoke_service_usage,High
set_audit_context,"p_user_id text, p_action text, p_trace_id text",postgres,true,true,true,true,true,,Critical
set_dialogflow_pending_shift_requests_updated_at,,postgres,false,true,true,true,true,dialogflow_pending_shift_requests|shift,High
set_google_calendar_updated_at,,postgres,false,true,true,true,true,,High
set_limit,real,supabase_admin,false,true,true,true,true,,High
set_recording_transcripts_updated_at,,postgres,false,true,true,true,true,recording_transcripts,High
set_updated_at,,postgres,false,true,true,true,true,,High
shift_delete_with_context,"p_shift_id bigint, p_actor_user_id text, p_request_path text",postgres,true,true,true,true,true,shift,Critical
shift_direct_reassign,"p_shift_id bigint, p_from_user_id text, p_to_user_id text, p_actor_auth_id text, p_reason text",postgres,true,true,true,true,true,shift,Critical
shift_direct_reassign,"p_shift_id bigint, p_from_user_id text, p_to_user_id text, p_actor_auth_id text, p_reason text, p_event_type text, p_penalty_level text",postgres,true,true,true,true,true,shift,Critical
shift_direct_reassign,"p_shift_id bigint, p_from_user_id text, p_to_user_id text, p_reason text, p_actor_user_id uuid, p_request_path text, p_event_type text, p_penalty_level text",postgres,true,true,true,true,true,shift,Critical
shift_direct_reassign_uuid,"p_shift_id uuid, p_from_user_id text, p_to_user_id text, p_actor_auth_id uuid, p_reason text",postgres,true,true,true,true,true,shift,Critical
shift_fix_for_mfcloud,,postgres,false,true,true,true,true,shift|shift_record_items|shift_records,High
shift_insert_with_context,"p_row jsonb, p_actor_user_id text, p_request_path text",postgres,true,true,true,true,true,shift,Critical
shift_update_with_context,"p_shift_id bigint, p_patch jsonb, p_actor_user_id text, p_request_path text",postgres,true,true,true,true,true,shift,Critical
shifts_delete_with_context,"p_shift_ids bigint[], p_actor_user_id text, p_request_path text",postgres,true,true,true,true,true,shift,Critical
shifts_update_with_context,"p_actor_user_id text, p_patch jsonb, p_request_path text, p_shift_id bigint",postgres,true,true,true,true,true,shift,Critical
show_limit,,supabase_admin,false,true,true,true,true,,High
show_trgm,text,supabase_admin,false,true,true,true,true,,High
similarity,"text, text",supabase_admin,false,true,true,true,true,,High
similarity_dist,"text, text",supabase_admin,false,true,true,true,true,,High
similarity_op,"text, text",supabase_admin,false,true,true,true,true,,High
snapshot_biz_stats_defect_sum,p_year_month text,postgres,false,true,true,true,true,alert_log|biz_stats_defect_sum|orgs,High
snapshot_biz_stats_shift_sum,p_year_month text,postgres,true,true,true,true,true,biz_stats_shift_sum|orgs|shift,Critical
staff_retirement_review_rows,,postgres,true,false,true,true,true,form_entries|shift|users,Critical
strict_word_similarity,"text, text",supabase_admin,false,true,true,true,true,,High
strict_word_similarity_commutator_op,"text, text",supabase_admin,false,true,true,true,true,,High
strict_word_similarity_dist_commutator_op,"text, text",supabase_admin,false,true,true,true,true,,High
strict_word_similarity_dist_op,"text, text",supabase_admin,false,true,true,true,true,,High
strict_word_similarity_op,"text, text",supabase_admin,false,true,true,true,true,,High
submit_entry_application,"p_submission_id uuid, p_payload jsonb",postgres,true,false,true,true,true,entry_attachments|form_entries|phone,Critical
sync_cs_docs_to_kaipoke_documents,,postgres,true,true,true,true,true,cs_docs|cs_kaipoke_info,Critical
time_dist,"time without time zone, time without time zone",supabase_admin,false,true,true,true,true,,High
trg_audit_shift_min,,postgres,true,true,true,true,true,audit_error_log|audit_log|shift,Critical
ts_dist,"timestamp without time zone, timestamp without time zone",supabase_admin,false,true,true,true,true,,High
tstz_dist,"timestamp with time zone, timestamp with time zone",supabase_admin,false,true,true,true,true,,High
update_cm_contract_templates_updated_at,,postgres,false,true,true,true,true,cm_contract_templates,High
update_cm_jobs_updated_at,,postgres,false,true,true,true,true,cm_jobs,High
update_cm_prompt_templates_updated_at,,postgres,false,true,true,true,true,cm_prompt_templates,High
update_local_fax_phonebook_updated_at,,postgres,false,true,true,true,true,fax|phone,High
update_other_office_fax_normalized,,postgres,false,true,true,true,true,fax,High
update_plaud_sum_processing_updated_at,,postgres,false,true,true,true,true,,High
update_sender_pattern,"p_office_id bigint, p_fax_number character varying, p_sender_name character varying, p_page_count integer, p_is_reversed boolean, p_rotation_data jsonb",postgres,false,true,true,true,true,cm_fax_sender_patterns|fax,High
update_updated_at_column,,postgres,false,true,true,true,true,,High
update_users_from_lw_temp,,postgres,false,true,true,true,true,users|users_lw_temp,High
upsert_text_pattern,"p_pattern_text character varying, p_pattern_type character varying, p_kaipoke_cs_id character varying, p_client_name character varying",postgres,false,true,true,true,true,fax,High
wf_is_admin,,postgres,true,false,true,true,true,,Critical
wf_is_approver,,postgres,true,false,true,true,true,,Critical
wf_my_user_id,,postgres,true,false,true,true,true,users,Critical
word_similarity,"text, text",supabase_admin,false,true,true,true,true,,High
word_similarity_commutator_op,"text, text",supabase_admin,false,true,true,true,true,,High
word_similarity_dist_commutator_op,"text, text",supabase_admin,false,true,true,true,true,,High
word_similarity_dist_op,"text, text",supabase_admin,false,true,true,true,true,,High
word_similarity_op,"text, text",supabase_admin,false,true,true,true,true,,High
