function,arguments,owner,security_definer,public_execute,anon_execute,authenticated_execute,service_role_execute,referenced_tables,risk
gbt_ts_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_ts_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_tstz_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_tstz_consistent,"internal, timestamp with time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_tstz_distance,"internal, timestamp with time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_uuid_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_uuid_consistent,"internal, uuid, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_uuid_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_uuid_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_uuid_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_uuid_same,"gbtreekey32, gbtreekey32, internal",supabase_admin,false,true,true,true,true,,High
gbt_uuid_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_var_decompress,internal,supabase_admin,false,true,true,true,true,,High
gbt_var_fetch,internal,supabase_admin,false,true,true,true,true,,High
